UserID,CouponID,ExchangeTimeDate
1035,100518,4/20/2022 13:05
1039,100799,4/19/2022 16:19
1002,100609,2/6/2022 18:11
1000,100363,3/18/2022 9:09
1005,100376,3/29/2022 0:58
1047,100278,4/2/2022 1:34
1038,100364,3/27/2022 4:51
1048,100938,3/20/2022 10:00
1016,100947,3/10/2022 17:10
1052,100732,3/4/2022 1:46
1029,100443,3/4/2022 7:32
1051,100143,4/16/2022 5:15
1041,100683,4/14/2022 8:01
1013,100555,2/23/2022 16:17
1042,100518,3/15/2022 10:18
1049,100799,3/29/2022 1:46
1044,100609,3/8/2022 16:16
1020,100363,2/5/2022 3:06
1034,100376,3/17/2022 18:48
1000,100278,1/18/2022 12:59
1005,100364,1/26/2022 19:48
1047,100938,1/18/2022 14:06
1038,100947,3/10/2022 22:55
1048,100732,1/26/2022 23:09
1016,100443,2/3/2022 3:19
1052,100143,4/1/2022 5:55
1029,100683,2/25/2022 4:34
1051,100555,3/5/2022 3:20
1041,100518,4/15/2022 5:41
1013,100799,1/10/2022 21:47
1042,100609,4/17/2022 9:56
1049,100363,4/12/2022 13:47
1044,100376,4/10/2022 11:40
1020,100278,3/17/2022 6:29
1034,100364,3/12/2022 23:00
1000,100938,3/29/2022 1:46
1005,100947,3/8/2022 16:16
1047,100732,2/5/2022 3:06
1038,100443,3/17/2022 18:48
1048,100143,1/18/2022 12:59
1016,100683,1/26/2022 19:48
1052,100555,3/6/2022 20:22
1029,100518,4/14/2022 2:41
1051,100799,1/15/2022 5:37
1041,100609,4/3/2022 18:02
1013,100363,2/7/2022 21:37
1042,100376,2/4/2022 14:20
1049,100278,2/14/2022 21:47
1044,100364,2/10/2022 16:51
1020,100938,1/14/2022 3:57
1034,100947,2/10/2022 23:23
1024,100732,3/27/2022 10:36
1033,100443,2/10/2022 16:32