ProviderID ,OrderNum,TimeFrametoPickUp,NumofServing
2050,20220033,11:00:00 AM,2
2051,20220040,3:00:00 PM,4
2052,20220002,12:00:00 PM,4
2053,20220029,6:00:00 PM,3
2054,20220010,9:00:00 PM,4
2055,20220014,4:00:00 PM,2
2056,20220018,6:00:00 PM,3
2057,20220017,2:00:00 PM,3
2058,20220052,7:00:00 PM,2
2059,20220011,11:00:00 AM,2
2060,20220031,6:00:00 PM,2
2061,20220024,3:00:00 PM,3
2062,20220050,6:00:00 PM,3
2063,20220045,1:00:00 PM,4
2064,20220007,10:00:00 AM,2
2065,20220013,7:00:00 PM,2
2066,20220038,8:00:00 PM,2
2067,20220026,3:00:00 PM,3
2068,20220020,10:00:00 AM,2
2069,20220009,7:00:00 PM,3
2070,20220046,9:00:00 PM,3
2071,20220047,9:00:00 PM,2
2072,20220042,7:00:00 PM,4
2073,20220004,8:00:00 PM,3
2074,20220049,12:00:00 PM,3
2075,20220032,7:00:00 PM,2
2076,20220043,9:00:00 PM,2
2077,20220030,5:00:00 PM,3
2078,20220034,12:00:00 PM,3
2079,20220022,2:00:00 PM,4
2080,20220006,5:00:00 PM,4
2081,20220003,6:00:00 PM,3
2082,20220015,6:00:00 PM,4
2083,20220021,1:00:00 PM,4
2084,20220048,12:00:00 PM,2
2085,20220037,12:00:00 PM,2
2086,20220001,2:00:00 PM,3
2087,20220016,10:00:00 AM,3
2088,20220023,10:00:00 AM,4
2089,20220053,1:00:00 PM,4
2090,20220027,6:00:00 PM,3
2091,20220036,11:00:00 AM,3
2092,20220008,3:00:00 PM,3
2093,20220025,12:00:00 PM,2
2094,20220005,6:00:00 PM,2
2095,20220019,9:00:00 PM,3
2096,20220054,4:00:00 PM,3
2097,20220041,6:00:00 PM,4
2098,20220035,2:00:00 PM,4
2099,20220012,7:00:00 PM,3
2100,20220051,11:00:00 AM,4
2101,20220039,6:00:00 PM,4
2102,20220044,3:00:00 PM,2